name,id,url,description,rank,list_id
(u'Kinsperson',1700, u'https://jukebox9.files.wordpress.com/2015/08/21.jpg', u'Joseph Ducreax Memes',6,7
(u'They Observe Me Voyaging',1701, u'https://s-media-cache-ak0.pinimg.com/236x/50/5d/0e/505d0e7897b1bd94e26b85eb028c58e2.jpg', u'Joseph Ducreax Memes',2,7
(u'You Doth Aspire',1702, u'https://jukebox9.files.wordpress.com/2015/08/31.jpg', u'Joseph Ducreax Memes',6,7
(u'Quiet Down',1703, u'http://i2.kym-cdn.com/photos/images/original/000/464/285/17b.png', u'Joseph Ducreax Memes',4,7
(u'BubbleGoth',1704, u'http://cdn.buzznet.com/assets/users16/kerli/default/cutest-cats--large-msg-134704087653.jpg', u'Sooooo Cute',5,8
(u'Pinterest',1705, u'https://s-media-cache-ak0.pinimg.com/736x/8c/99/e3/8c99e3483387df6395da674a6b5dee4c.jpg', u'The eyes!! omg!',2,8
(u'Adorable',1706, u'http://amazinganimalphotos.com/wp-content/uploads/2013/04/cutest-cat-picture-ever.jpg', u'Sooooo Cute',6,8
(u'Kerli',1707, u'http://cdn.buzznet.com/assets/users16/kerli/default/cutest-cats--large-msg-134704089222.jpg', u'Sooooo Cute',9,8
(u'Cute',1708, u'http://cdn.buzznet.com/assets/users16/kerli/default/cutest-cats--large-msg-134704090282.jpg', u'Dreamy',4,8
(u'Cups',1709, u'http://joyofsix.typepad.com/joyofsix/images/44334153_3e9114058d.jpg'," u""We've had enough coffee!!""",3,8
(u'Sleeping',1710, u'http://cdn-1.innocentenglish.com/cute-animals/cute-kitten-3.jpg'," u""He thinks he's people!""",1,8
(u'Derek Banas',1711, u'https://yt3.ggpht.com/-SN1RQ4kN5bM/AAAAAAAAAAI/AAAAAAAAAAA/T39gSKk4e2g/s176-c-k-no/photo.jpg', u'All you need to know about any language FAST!',1,9
(u'Sentdex',1712, u'https://yt3.ggpht.com/-kHTbb6oDqmY/AAAAAAAAAAI/AAAAAAAAAAA/BHWd_jlJmJU/s176-c-k-no/photo.jpg', u'This guy has videos on machine learning,2,9
(u'Learn Code Academy',1713, u'https://yt3.ggpht.com/-mW8hwFBRUNs/AAAAAAAAAAI/AAAAAAAAAAA/jVL9TZ64o7A/s88-c-k-no/photo.jpg', u'Best Video with a chart showing how all the technologies of Web Development fit together. ',3,9
